Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
2/7/16,17605,25014510,31524,45702677,160316,622,30
2/8/16,19026,25033536,28648,45731325,160335,80,20
2/9/16,22740,25056276,40198,45771523,160364,156,9
2/10/16,22418,25078694,38402,45809925,160395,130,17
2/11/16,18747,25097441,27783,45837708,160425,87,15
2/12/16,16445,25113886,27143,45864851,160450,104,16
2/13/16,6625,25120511,11589,45876440,160459,46,4
2/14/16,4652,25125163,6934,45883374,160468,78,4
2/15/16,5883,25131046,8747,45892121,160480,43,1
2/16/16,14225,25145271,27802,45919923,160505,53,19
2/17/16,23572,25168843,38304,45958227,160528,182,26
2/18/16,22261,25191104,34431,45992658,160550,202,26
2/19/16,21959,25213063,35317,46027975,160568,268,17
2/20/16,24484,25237547,53540,46081515,160618,1710,50
2/21/16,20052,25257599,41645,46123160,160685,1228,29
2/22/16,28233,25285832,48237,46171397,160749,455,37
2/23/16,16133,25301965,26379,46197776,160784,62,10
2/24/16,9761,25311726,14994,46212770,160814,38,3
2/25/16,25102,25336828,42707,46255477,160849,237,23
2/26/16,22574,25359402,36101,46291578,160887,254,19
2/27/16,17226,25376628,37583,46329161,160910,706,18
2/28/16,25440,25402068,61595,46390756,160982,2335,43
2/29/16,27957,25430025,47933,46438689,161089,376,58
3/1/16,30509,25460534,55160,46493849,161146,470,66
3/2/16,26195,25486729,43535,46537384,161198,235,35
3/3/16,24061,25510790,37848,46575232,161243,215,22
3/4/16,17369,25528159,29100,46604332,161268,150,16
3/5/16,18023,25546182,36875,46641207,161310,785,46
3/6/16,18832,25565014,36377,46677584,161379,837,40
3/7/16,31492,25596506,56232,46733816,161493,633,58
3/8/16,36521,25633027,67958,46801774,161604,723,98
3/9/16,41489,25674516,81662,46883436,161732,1226,125
3/10/16,42252,25716768,82079,46965515,161867,1271,111
3/11/16,38193,25754961,76636,47042151,161987,1266,79
3/12/16,32770,25787731,81491,47123642,162086,3247,105
3/13/16,27549,25815280,63214,47186856,162214,2216,67
3/14/16,10930,25826210,16498,47203354,162289,70,17
3/15/16,31595,25857805,57722,47261076,162380,582,79
3/16/16,36067,25893872,68713,47329789,162482,930,78
3/17/16,35390,25929262,65353,47395142,162583,785,98
3/18/16,34647,25963909,69122,47464264,162670,933,87
3/19/16,24048,25987957,49113,47513377,162733,1411,69
3/20/16,16676,26004633,29737,47543114,162795,633,40
3/21/16,26414,26031047,44457,47587571,162890,428,57
3/22/16,33496,26064543,62248,47649819,163000,705,99
3/23/16,40981,26105524,80289,47730108,163136,1279,120
3/24/16,36495,26142019,67590,47797698,163216,1045,101
3/25/16,34091,26176110,70525,47868223,163320,1684,128
3/26/16,27474,26203584,67267,47935490,163407,2834,108
3/27/16,22481,26226065,52462,47987952,163501,2080,67
3/28/16,20344,26246409,35548,48023500,163589,375,60
3/29/16,31481,26277890,55067,48078567,163681,588,97
3/30/16,33674,26311564,61264,48139831,163770,769,64
3/31/16,38192,26349756,79447,48219278,163865,1141,91Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
4/1/16,34448,26384204,67595,48286873,163963,1113,0,82
4/2/16,21838,26406042,46206,48333079,164031,1193,0,63
4/3/16,15321,26421363,28615,48361694,164102,448,0,31
4/4/16,12302,26433665,20143,48381837,164167,49,0,19
4/5/16,26236,26459901,43723,48425560,164237,341,0,56
4/6/16,29364,26489265,48901,48474461,164310,443,0,37
4/7/16,30400,26519665,54591,48529052,164366,280,0,65
4/8/16,30811,26550476,53039,48582091,164425,542,0,51
4/9/16,12698,26563174,21151,48603242,164455,346,0,21
4/10/16,23228,26586402,49190,48652432,164536,1508,0,48
4/11/16,32048,26618450,59206,48711638,164632,668,0,82
4/12/16,23765,26642215,43504,48755142,164703,316,0,50
4/13/16,37538,26679753,71788,48826930,164790,761,0,106
4/14/16,38502,26718255,88278,48915208,164885,963,0,93
4/15/16,39676,26757931,86981,49002189,164996,1273,0,118
4/16/16,36148,26794079,102228,49104417,165139,3726,0,141
4/17/16,38838,26832917,115805,49220222,165354,4348,0,190
4/18/16,43989,26876906,102730,49322952,165576,1595,0,197
4/19/16,46075,26922981,107515,49430467,165812,1130,0,184
4/20/16,44542,26967523,104249,49534716,166002,1160,0,116
4/21/16,45568,27013091,104484,49639200,166153,1307,0,149
4/22/16,48806,27061897,113556,49752756,166319,4230,0,105
4/23/16,33631,27095528,96274,49849030,166462,3309,0,155
4/24/16,37862,27133390,115132,49964162,166692,4026,0,177
4/25/16,42303,27175693,100925,50065087,166902,1698,0,170
4/26/16,34639,27210332,75454,50140541,167048,741,0,97
4/27/16,41931,27252263,93272,50233813,167196,1395,0,110
4/28/16,37428,27289691,74857,50308670,167311,927,0,95
4/29/16,34878,27324569,78020,50386690,167439,1051,0,122
4/30/16,38258,27362827,110776,50497466,167638,4244,0,165
5/1/16,10697,27373524,29020,50526486,167721,260,0,24
5/2/16,38536,27412060,84418,50610904,167842,967,0,152
5/3/16,22858,27434918,57652,50668556,167987,350,0,45
5/4/16,31619,27466537,67962,50736518,168111,449,0,84
5/5/16,39903,27506440,80750,50817268,168262,970,0,107
5/6/16,18860,27525300,42069,50859337,168326,275,0,45
5/7/16,31078,27556378,78977,50938314,168427,2293,0,133
5/8/16,31197,27587575,84464,51022778,168582,2773,0,157
5/9/16,45724,27633299,103071,51125849,168779,1389,0,195
5/10/16,44849,27678148,89755,51215604,168979,876,0,133
5/11/16,51181,27729329,106139,51321743,169209,1531,0,147
5/12/16,52273,27781602,115823,51437566,169407,1971,0,169
5/13/16,32391,27813993,68317,51505883,169570,855,0,92
5/14/16,42063,27856056,108807,51614690,169769,4186,0,212
5/15/16,28662,27884718,64857,51679547,169933,1865,0,116
5/16/16,42787,27927505,94791,51774338,170102,1362,0,186
5/17/16,43396,27970901,80744,51855082,170276,1012,0,154
5/18/16,44803,28015704,93320,51948402,170465,1120,0,121
5/19/16,49184,28064888,104291,52052693,170680,1471,151,0
5/20/16,52544,28117432,118192,52170885,170960,2349,184,0
5/21/16,30524,28147956,72663,52243548,171147,2174,138,0
5/22/16,37804,28185760,98270,52341818,171349,3159,131,0
5/23/16,48578,28234338,109072,52450890,171680,1549,177,0
5/24/16,34799,28269137,68156,52519046,171898,696,98,0
5/25/16,53441,28322578,125803,52644849,172154,1702,191,0
5/26/16,52134,28374712,124751,52769600,172386,1646,195,0
5/27/16,46943,28421655,106768,52876368,172638,1988,221,0
5/28/16,34233,28455888,95897,52972265,172831,3634,296,0
5/29/16,36881,28492769,114069,53086334,173090,4820,161,0
5/30/16,32627,28525396,94241,53180575,173422,2782,134,0
5/31/16,49774,28575170,106059,53286634,174137,1492,212,0
6/1/16,54662,28629832,127143,53413777,174344,1513,156,0
6/2/16,54401,28684233,124918,53538695,174516,1649,162,0
6/3/16,38975,28723208,85292,53623987,174633,1023,118,0
6/4/16,40973,28764181,107610,53731597,174797,3824,159,0
6/5/16,22395,28786576,54320,53785917,174912,1133,57,0
6/6/16,52130,28838706,123879,53909796,175118,1861,208,0
6/7/16,51761,28890467,114761,54024557,175293,1331,127,0
6/8/16,42063,28932530,89460,54114017,175420,673,74,0
6/9/16,52885,28985415,127585,54241602,175557,1556,168,0
6/10/16,53235,29038650,119143,54360745,175697,2022,207,0
6/11/16,40980,29079630,111784,54472529,175901,3432,126,0
6/12/16,40636,29120266,117814,54590343,176087,3335,173,0
6/13/16,49069,29169335,110720,54701063,176273,1364,200,0
6/14/16,54813,29224148,116030,54817093,176467,1471,153,0
6/15/16,55049,29279197,122197,54939290,176711,1524,154,0
6/16/16,46198,29325395,100175,55039465,176865,1104,144,0
6/17/16,54236,29379631,121671,55161136,177053,2677,155,0
6/18/16,48901,29428532,143869,55305005,177210,6432,158,0
6/19/16,45270,29473802,137558,55442563,177370,5555,151,0
6/20/16,52247,29526049,119765,55562328,177660,1488,211,0
6/21/16,53564,29579613,116215,55678543,177895,1331,144,0
6/22/16,55749,29635362,119611,55798154,178168,1476,157,0
6/23/16,53206,29688568,115262,55913416,178354,1253,160,0
6/24/16,54186,29742754,123440,56036856,178545,2142,224,0
6/25/16,43000,29785754,123815,56160671,178715,4069,176,0
6/26/16,42992,29828746,117472,56278143,178893,3784,156,0
6/27/16,47023,29875769,100253,56378396,179061,1400,164,0
6/28/16,49593,29925362,99918,56478314,179215,1099,114,0
6/29/16,54882,29980244,114793,56593107,179403,1402,128,0
6/30/16,54843,30035087,125575,56718682,179625,1571,141,0Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
7/1/16,39665,30074752,82871,56801553,179756,1316,139
7/2/16,35835,30110587,111151,56912704,179903,3596,314
7/3/16,35347,30145934,111116,57023820,180016,4095,169
7/4/16,34859,30180793,109745,57133565,180158,3826,155
7/5/16,43736,30224529,92107,57225672,180338,1357,160
7/6/16,51336,30275865,109240,57334912,180540,1288,153
7/7/16,48724,30324589,99975,57434887,180725,1255,113
7/8/16,44400,30368989,91632,57526519,180852,1258,152
7/9/16,38138,30407127,107359,57633878,180990,2844,145
7/10/16,41985,30449112,123282,57757160,181172,3280,137
7/11/16,52853,30501965,122260,57879420,181381,1440,211
7/12/16,56515,30558480,120414,57999834,181571,1472,192
7/13/16,55471,30613951,121029,58120863,181748,1510,146
7/14/16,50345,30664296,108541,58229404,181877,1326,126
7/15/16,48558,30712854,104701,58334105,182016,1709,173
7/16/16,38405,30751259,103429,58437534,182144,3281,122
7/17/16,41346,30792605,120635,58558169,182314,3440,153
7/18/16,43681,30836286,97216,58655385,182488,1062,154
7/19/16,54587,30890873,116806,58772191,182624,1498,139
7/20/16,57213,30948086,128799,58900990,182792,1601,158
7/21/16,54832,31002918,128476,59029466,182950,1553,161
7/22/16,49185,31052103,105666,59135132,183072,1701,176
7/23/16,37522,31089625,101810,59236942,183177,2932,138
7/24/16,39634,31129259,113680,59350622,183332,2966,114
7/25/16,35376,31164635,85145,59435767,183473,920,150
7/26/16,52904,31217539,108783,59544550,183595,1385,168
7/27/16,54148,31271687,115744,59660294,183731,1403,132
7/28/16,50134,31321821,98694,59758988,183846,1292,123
7/29/16,37693,31359514,81355,59840343,183937,1441,162
7/30/16,27780,31387294,72197,59912540,184039,2242,112
7/31/16,27651,31414945,70377,59982917,184157,1641,82
8/1/16,49395,31464340,101134,60084051,184325,1359,166
8/2/16,56744,31521084,116187,60200238,184558,1636,181
8/3/16,56992,31578076,118370,60318608,184766,1827,143
8/4/16,56587,31634663,118563,60437171,184960,1778,148
8/5/16,53286,31687949,116534,60553705,185186,2012,185
8/6/16,44209,31732158,125188,60678893,185436,4159,153
8/7/16,43631,31775789,116183,60795076,185682,3856,149
8/8/16,52251,31828040,115847,60910923,185956,1753,184
8/9/16,56101,31884141,114892,61025815,186223,1701,165
8/10/16,50100,31934241,101761,61127576,186401,1158,109
8/11/16,47420,31981661,93639,61221215,186596,1238,152
8/12/16,44729,32026390,90685,61311900,186771,1467,144
8/13/16,38903,32065293,100035,61411935,186990,3333,125
8/14/16,32961,32098254,74055,61485990,187173,2154,91
8/15/16,49056,32147310,107305,61593295,187394,1417,175
8/16/16,50411,32197721,103010,61696305,187601,1295,164
8/17/16,53983,32251704,113583,61809888,187820,1430,138
8/18/16,53209,32304913,115041,61924929,187998,1459,163
8/19/16,51658,32356571,110723,62035652,188186,1862,175
8/20/16,45808,32402379,138864,62174516,188499,4385,167
8/21/16,35041,32437420,96941,62271457,188725,2664,127
8/22/16,54201,32491621,118995,62390452,188996,1679,192
8/23/16,58665,32550286,127012,62517464,189297,1675,170
8/24/16,58134,32608420,127066,62644530,189577,1597,160
8/25/16,53480,32661900,111985,62756515,189856,1436,169
8/26/16,52026,32713926,112005,62868520,190156,1878,197
8/27/16,45673,32759599,120578,62989098,190480,3767,173
8/28/16,44639,32804238,121056,63110154,190844,3560,159
8/29/16,53279,32857517,115101,63225255,191255,1530,174
8/30/16,57392,32914909,121098,63346353,191713,1510,160
8/31/16,57200,32972109,118815,63465168,192380,1320,136
9/1/16,38174,33010283,77415,63542583,192592,714,104
9/2/16,52999,33063282,126790,63669373,192814,2314,252
9/3/16,41629,33104911,117476,63786849,193055,4009,268
9/4/16,46020,33150931,140347,63927196,193326,5467,185
9/5/16,45431,33196362,118022,64045218,193677,3778,190
9/6/16,52432,33248794,108743,64153961,194065,1018,178
9/7/16,60278,33309072,130391,64284352,194396,1328,199
9/8/16,61551,33370623,130259,64414611,194674,1511,179
9/9/16,56804,33427427,118213,64532824,194908,1582,178
9/10/16,48454,33475881,127252,64660076,195189,3549,229
9/11/16,52238,33528119,136353,64796429,195499,3572,216
9/12/16,61083,33589202,127447,64923876,195832,1620,225
9/13/16,64818,33654020,135366,65059242,196122,1462,198
9/14/16,58928,33712948,121511,65180753,196388,1369,157
9/15/16,67312,33780260,140436,65321189,196637,1612,240
9/16/16,65257,33845517,145454,65466643,196886,2047,225
9/17/16,59199,33904716,154037,65620680,197163,5117,210
9/18/16,51685,33956401,131788,65752468,197449,3191,159
9/19/16,34205,33990606,67180,65819648,197620,555,101
9/20/16,64881,34055487,135085,65954733,197880,1454,200
9/21/16,65453,34120940,142356,66097089,198118,1566,182
9/22/16,67762,34188702,146370,66243459,198363,1681,207
9/23/16,65499,34254201,142458,66385917,198577,2053,248
9/24/16,53258,34307459,137355,66523272,198827,3990,212
9/25/16,53563,34361022,143312,66666584,199198,3871,169
9/26/16,61120,34422142,128011,66794595,199480,1375,170
9/27/16,61334,34483476,122347,66916942,199739,1175,150
9/28/16,59456,34542932,120072,67037014,199989,931,107
9/29/16,55550,34598482,104364,67141378,200201,808,131
9/30/16,21368,34619850,45194,67186572,200447,175,20Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
10/1/16,39809,"34,659,659",91771,"67,278,343",200544,2017,133
10/2/16,41018,"34,700,677",100425,"67,378,768",200664,2147,119
10/3/16,56369,"34,757,046",116682,"67,495,450",200829,1514,183
10/4/16,60196,"34,817,242",123551,"67,619,001",200954,1035,144
10/5/16,65031,"34,882,273",126942,"67,745,943",201115,1240,160
10/6/16,67580,"34,949,853",137567,"67,883,510",201234,1580,205
10/7/16,65881,"35,015,734",142612,"68,026,122",201369,2398,222
10/8/16,34624,"35,050,358",86818,"68,112,940",201485,2002,160
10/9/16,21687,"35,072,045",46334,"68,159,274",201539,713,56
10/10/16,52248,"35,124,293",107487,"68,266,761",201664,2013,163
10/11/16,58754,"35,183,047",113228,"68,379,989",201761,1172,142
10/12/16,57497,"35,240,544",119851,"68,499,840",201880,1170,153
10/13/16,61209,"35,301,753",117523,"68,617,363",201984,1064,168
10/14/16,60561,"35,362,314",123000,"68,740,363",202090,1592,183
10/15/16,51991,"35,414,305",138233,"68,878,596",202215,3904,207
10/16/16,48866,"35,463,171",126550,"69,005,146",202343,3195,172
10/17/16,62649,"35,525,820",132131,"69,137,277",202502,1447,236
10/18/16,68224,"35,594,044",143635,"69,280,912",202653,1656,194
10/19/16,69758,"35,663,802",145347,"69,426,259",202772,1902,164
10/20/16,63668,"35,727,470",131686,"69,557,945",202893,1377,198
10/21/16,40865,"35,768,335",80787,"69,638,732",202960,724,102
10/22/16,25301,"35,793,636",55557,"69,694,289",203019,658,45
10/23/16,41462,"35,835,098",99878,"69,794,167",203137,2616,134
10/24/16,55254,"35,890,352",106893,"69,901,060",203269,1145,146
10/25/16,52667,"35,943,019",96848,"69,997,908",203349,716,102
10/26/16,52466,"35,995,485",103870,"70,101,778",203410,809,85
10/27/16,21054,"36,016,539",39660,"70,141,438",203449,101,23
10/28/16,46233,"36,062,772",89857,"70,231,295",203492,766,111
10/29/16,42513,"36,105,285",103274,"70,334,569",203579,2615,153
10/30/16,37760,"36,143,045",107572,"70,442,141",203697,2971,114
10/31/16,50071,"36,193,116",107875,"70,550,016",203787,1090,123
11/1/16,55944,"36,249,060",110056,"70,660,072",203888,868,105
11/2/16,62133,"36,311,193",133258,"70,793,330",203993,1242,141
11/3/16,59632,"36,370,825",124673,"70,918,003",204108,943,174
11/4/16,57867,"36,428,692",126507,"71,044,510",204195,1538,207
11/5/16,48687,"36,477,379",128639,"71,173,149",204301,3416,177
11/6/16,39413,"36,516,792",104186,"71,277,335",204428,2293,97
11/7/16,49883,"36,566,675",106484,"71,383,819",204520,972,119
11/8/16,56589,"36,623,264",123718,"71,507,537",204616,1137,107
11/9/16,38050,"36,661,314",75883,"71,583,420",204660,257,40
11/10/16,50863,"36,712,177",111472,"71,694,892",204728,813,139
11/11/16,45826,"36,758,003",105021,"71,799,913",204802,1248,165
11/12/16,34664,"36,792,667",86968,"71,886,881",204865,1916,114
11/13/16,36806,"36,829,473",95679,"71,982,560",204958,2076,95
11/14/16,48810,"36,878,283",113590,"72,096,150",205034,728,97
11/15/16,22884,36901167,48797,72144947,205073,105,16
11/16/16,53328,"	36954495",107831,"	72252778",205170,703,113
11/17/16,53889,"	37008384",109418,"	72362196",205231,711,106
11/18/16,53370,"	37061754",109802,"	72471998",205286,1051,125
11/19/16,41208,"	37102962",98021,"	72570019",205376,2272,87
11/20/16,20616,"	37123578",45772,"	72615791",205407,350,34
11/21/16,32964,"	37156542",69754,"	72685545",205449,148,38
11/22/16,36723,"	37193265",72592,"	72758137",205479,290,35
11/23/16,34462,"	37227727",73005,"	72831142",205501,481,56
11/24/16,12122,"	37239849",42343,"	72873485",205518,641,73
11/25/16,20980,"	37260829",62444,"	72935929",205545,1011,67
11/26/16,23810,"	37284639",65654,"	73001583",205572,1356,44
11/27/16,24076,"	37308715",74381,"	73075964",205607,945,31
11/28/16,42086,"	37350801",83300,"	73159264",205667,485,42
11/29/16,14584,"	37365385",30989,"	73190253",205696,48,9
11/30/16,24434,"	37389819",52424,"	73242677",205729,117,10
12/1/16,43233,"	37433053",90239,"	73332916",205762,389,58
12/2/16,42358,"	37475411",89092,"	73422008",205794,440,52
12/3/16,29853,"	37505264",70853,"	73492861",205824,854,58
12/4/16,27454,"	37532718",71729,"	73564590",205857,930,28
12/5/16,35927,"	37568645",80214,"	73644804",205897,278,38
12/6/16,33325,"	37601970",67187,"	73711991",205939,228,26
12/7/16,38010,"	37639980",76605,"	73788596",205967,270,18
12/8/16,39621,"	37679601",72219,"	73860815",205998,235,23
12/9/16,33540,"	37713141",63950,"	73924765",206021,214,31
12/10/16,22379,37735520,52716,73977481,206033,490,20
12/11/16,17798,"	37753318",41740,"	74019221",206049,287,6
12/12/16,29035,"	37782353",58701,"	74077922",206066,175,14
12/13/16,39023,"	37821376",68858,"	74146780",206090,299,21
12/14/16,37799,"	37859175",71798,"	74218578",206130,257,16
12/15/16,25002,"	37884177",45840,"	74264418",206145,80,13
12/16/16,24484,"	37908661",48288,"	74312706",206171,139,11
12/17/16,6993,"	37915654",22363,"	74335069",206176,36,7
12/18/16,16295,"	37931949",38459,"	74373528",206200,168,14
12/19/16,25648,"	37957597",50405,"	74423933",206225,119,12
12/20/16,27677,"	37985274",50408,"	74474341",206250,202,22
12/21/16,30611,"	38015885",55746,"	74530087",206270,244,20
12/22/16,30874,"	38046759",56441,"	74586528",206293,302,18
12/23/16,26335,"	38073094",53318,"	74639846",206320,399,27
12/24/16,8014,38081108,28033,"	74667879",206334,147,10
12/25/16,9919,38091027,38209,"	74706088",206369,1052,43
12/26/16,10774,"	38101801",32446,"	74738534",206400,315,27
12/27/16,25946,"	38127747",61379,"	74799913",206450,960,68
12/28/16,23596,"	38151343",52937,"	74852850",206476,619,38
12/29/16,13202,"	38164545",29631,"	74882481",206503,104,8
12/30/16,21366,"	38185911",45743,"	74928224",206543,641,49
12/31/16,15925,"	38201836",46810,"	74975034",206585,798,33